/usr/sbin/mysqld, Version: 5.1.41-3ubuntu12.6-log ((Ubuntu)). started with:
Tcp port: 3306  Unix socket: /var/run/mysqld/mysqld.sock
Time                 Id Command    Argument
230914 15:01:35	    1 Connect	debian-sys-maint@localhost on 
		   33 Connect	debian-sys-maint@localhost on 
		   33 Query	select @@version_comment limit 1
		   33 Query	select count(*) into @discard from `gallery2`.`g2_entity`
		   33 Quit	
		   34 Connect	debian-sys-maint@localhost on 
		   34 Query	select @@version_comment limit 1
		   34 Query	select count(*) into @discard from `gallery2`.`g2_exifpropertiesmap`
		   34 Quit	
		   35 Connect	debian-sys-maint@localhost on 
		   35 Query	select @@version_comment limit 1
		   35 Query	select count(*) into @discard from `gallery2`.`g2_externalidmap`
		   35 Quit	
		   36 Connect	debian-sys-maint@localhost on 
		   36 Query	select @@version_comment limit 1
		   36 Query	select count(*) into @discard from `gallery2`.`g2_factorymap`
		   36 Quit	
		   37 Connect	debian-sys-maint@localhost on 
		   37 Query	select @@version_comment limit 1
		   37 Query	select count(*) into @discard from `gallery2`.`g2_filesystementity`
		   37 Quit	
		   38 Connect	debian-sys-maint@localhost on 
		   38 Query	select @@version_comment limit 1
		   38 Query	select count(*) into @discard from `gallery2`.`g2_g1migratemap`
		   38 Quit	
		   39 Connect	debian-sys-maint@localhost on 
		   39 Query	select @@version_comment limit 1
		   39 Query	select count(*) into @discard from `gallery2`.`g2_getid3propsmap`
		   39 Quit	
		   40 Connect	debian-sys-maint@localhost on 
		   40 Query	select @@version_comment limit 1
		   40 Query	select count(*) into @discard from `gallery2`.`g2_group`
		   40 Quit	
		   41 Connect	debian-sys-maint@localhost on 
		   41 Query	select @@version_comment limit 1
		   41 Query	select count(*) into @discard from `gallery2`.`g2_imageblockcachemap`
		   41 Quit	
		   42 Connect	debian-sys-maint@localhost on 
		   42 Query	select @@version_comment limit 1
		   42 Query	select count(*) into @discard from `gallery2`.`g2_imageblockdisabledmap`
		   42 Quit	
		   43 Connect	debian-sys-maint@localhost on 
		   43 Query	select @@version_comment limit 1
		   43 Query	select count(*) into @discard from `gallery2`.`g2_item`
		   43 Quit	
		   44 Connect	debian-sys-maint@localhost on 
		   44 Query	select @@version_comment limit 1
		   44 Query	select count(*) into @discard from `gallery2`.`g2_itemattributesmap`
		   44 Quit	
		   45 Connect	debian-sys-maint@localhost on 
		   45 Query	select @@version_comment limit 1
		   45 Query	select count(*) into @discard from `gallery2`.`g2_linkitem`
		   45 Quit	
		   46 Connect	debian-sys-maint@localhost on 
		   46 Query	select @@version_comment limit 1
		   46 Query	select count(*) into @discard from `gallery2`.`g2_lock`
		   46 Quit	
		   47 Connect	debian-sys-maint@localhost on 
		   47 Query	select @@version_comment limit 1
		   47 Query	select count(*) into @discard from `gallery2`.`g2_maintenancemap`
		   47 Quit	
		   48 Connect	debian-sys-maint@localhost on 
		   48 Query	select @@version_comment limit 1
		   48 Query	select count(*) into @discard from `gallery2`.`g2_mimetypemap`
		   48 Quit	
		   49 Connect	debian-sys-maint@localhost on 
		   49 Query	select @@version_comment limit 1
		   49 Query	select count(*) into @discard from `gallery2`.`g2_movieitem`
		   49 Quit	
		   50 Connect	debian-sys-maint@localhost on 
		   50 Query	select @@version_comment limit 1
		   50 Query	select count(*) into @discard from `gallery2`.`g2_multilangitemmap`
		   50 Quit	
		   51 Connect	debian-sys-maint@localhost on 
		   51 Query	select @@version_comment limit 1
		   51 Query	select count(*) into @discard from `gallery2`.`g2_pendinguser`
		   51 Quit	
		   52 Connect	debian-sys-maint@localhost on 
		   52 Query	select @@version_comment limit 1
		   52 Query	select count(*) into @discard from `gallery2`.`g2_permalinksmap`
		   52 Quit	
		   53 Connect	debian-sys-maint@localhost on 
		   53 Query	select @@version_comment limit 1
		   53 Query	select count(*) into @discard from `gallery2`.`g2_permissionsetmap`
		   53 Quit	
		   54 Connect	debian-sys-maint@localhost on 
		   54 Query	select @@version_comment limit 1
		   54 Query	select count(*) into @discard from `gallery2`.`g2_photoitem`
		   54 Quit	
		   55 Connect	debian-sys-maint@localhost on 
		   55 Query	select @@version_comment limit 1
		   55 Query	select count(*) into @discard from `gallery2`.`g2_pluginmap`
		   55 Quit	
		   56 Connect	debian-sys-maint@localhost on 
		   56 Query	select @@version_comment limit 1
		   56 Query	select count(*) into @discard from `gallery2`.`g2_pluginpackagemap`
		   56 Quit	
		   57 Connect	debian-sys-maint@localhost on 
		   57 Query	select @@version_comment limit 1
		   57 Query	select count(*) into @discard from `gallery2`.`g2_pluginparametermap`
		   57 Quit	
		   58 Connect	debian-sys-maint@localhost on 
		   58 Query	select @@version_comment limit 1
		   58 Query	select count(*) into @discard from `gallery2`.`g2_quotasmap`
		   58 Quit	
		   59 Connect	debian-sys-maint@localhost on 
		   59 Query	select @@version_comment limit 1
		   59 Query	select count(*) into @discard from `gallery2`.`g2_ratingcachemap`
		   59 Quit	
		   60 Connect	debian-sys-maint@localhost on 
		   60 Query	select @@version_comment limit 1
		   60 Query	select count(*) into @discard from `gallery2`.`g2_ratingmap`
		   60 Quit	
		   61 Connect	debian-sys-maint@localhost on 
		   61 Query	select @@version_comment limit 1
		   61 Query	select count(*) into @discard from `gallery2`.`g2_recoverpasswordmap`
		   61 Quit	
		   62 Connect	debian-sys-maint@localhost on 
		   62 Query	select @@version_comment limit 1
		   62 Query	select count(*) into @discard from `gallery2`.`g2_rssmap`
		   62 Quit	
		   63 Connect	debian-sys-maint@localhost on 
		   63 Query	select @@version_comment limit 1
		   63 Query	select count(*) into @discard from `gallery2`.`g2_schema`
		   63 Quit	
		   64 Connect	debian-sys-maint@localhost on 
		   64 Query	select @@version_comment limit 1
		   64 Query	select count(*) into @discard from `gallery2`.`g2_sequenceid`
		   64 Quit	
		   65 Connect	debian-sys-maint@localhost on 
		   65 Query	select @@version_comment limit 1
		   65 Query	select count(*) into @discard from `gallery2`.`g2_sequencelock`
		   65 Quit	
		   66 Connect	debian-sys-maint@localhost on 
		   66 Query	select @@version_comment limit 1
		   66 Query	select count(*) into @discard from `gallery2`.`g2_sessionmap`
		   66 Quit	
		   67 Connect	debian-sys-maint@localhost on 
		   67 Query	select @@version_comment limit 1
		   67 Query	select count(*) into @discard from `gallery2`.`g2_thumbnailimage`
		   67 Quit	
		   68 Connect	debian-sys-maint@localhost on 
		   68 Query	select @@version_comment limit 1
		   68 Query	select count(*) into @discard from `gallery2`.`g2_tkoperatnmap`
		   68 Quit	
		   69 Connect	debian-sys-maint@localhost on 
		   69 Query	select @@version_comment limit 1
		   69 Query	select count(*) into @discard from `gallery2`.`g2_tkoperatnmimetypemap`
		   69 Quit	
		   70 Connect	debian-sys-maint@localhost on 
		   70 Query	select @@version_comment limit 1
		   70 Query	select count(*) into @discard from `gallery2`.`g2_tkoperatnparametermap`
		   70 Quit	
		   71 Connect	debian-sys-maint@localhost on 
		   71 Query	select @@version_comment limit 1
		   71 Query	select count(*) into @discard from `gallery2`.`g2_tkpropertymap`
		   71 Quit	
		   72 Connect	debian-sys-maint@localhost on 
		   72 Query	select @@version_comment limit 1
		   72 Query	select count(*) into @discard from `gallery2`.`g2_tkpropertymimetypemap`
		   72 Quit	
		   73 Connect	debian-sys-maint@localhost on 
		   73 Query	select @@version_comment limit 1
		   73 Query	select count(*) into @discard from `gallery2`.`g2_unknownitem`
		   73 Quit	
		   74 Connect	debian-sys-maint@localhost on 
		   74 Query	select @@version_comment limit 1
		   74 Query	select count(*) into @discard from `gallery2`.`g2_user`
		   74 Quit	
		   75 Connect	debian-sys-maint@localhost on 
		   75 Query	select @@version_comment limit 1
		   75 Query	select count(*) into @discard from `gallery2`.`g2_usergroupmap`
		   75 Quit	
		   76 Connect	debian-sys-maint@localhost on 
		   76 Query	select @@version_comment limit 1
		   76 Query	select count(*) into @discard from `gallery2`.`g2_watermarkimage`
		   76 Quit	
		   77 Connect	debian-sys-maint@localhost on 
		   77 Query	select @@version_comment limit 1
		   77 Query	select count(*) into @discard from `getboo`.`activation`
		   77 Quit	
		   78 Connect	debian-sys-maint@localhost on 
		   78 Query	select @@version_comment limit 1
		   78 Query	select count(*) into @discard from `getboo`.`bookexportimport`
		   78 Quit	
		   79 Connect	debian-sys-maint@localhost on 
		   79 Query	select @@version_comment limit 1
		   79 Query	select count(*) into @discard from `getboo`.`bookmarkhits`
		   79 Quit	
		   80 Connect	debian-sys-maint@localhost on 
		   80 Query	select @@version_comment limit 1
		   80 Query	select count(*) into @discard from `getboo`.`captchahits`
		   80 Quit	
		   81 Connect	debian-sys-maint@localhost on 
		   81 Query	select @@version_comment limit 1
		   81 Query	select count(*) into @discard from `getboo`.`comments`
		   81 Quit	
		   82 Connect	debian-sys-maint@localhost on 
		   82 Query	select @@version_comment limit 1
		   82 Query	select count(*) into @discard from `getboo`.`configs`
		   82 Quit	
		   83 Connect	debian-sys-maint@localhost on 
		   83 Query	select @@version_comment limit 1
		   83 Query	select count(*) into @discard from `getboo`.`configs_groups`
		   83 Quit	
		   84 Connect	debian-sys-maint@localhost on 
		   84 Query	select @@version_comment limit 1
		   84 Query	select count(*) into @discard from `getboo`.`ebhints`
		   84 Quit	
		   85 Connect	debian-sys-maint@localhost on 
		   85 Query	select @@version_comment limit 1
		   85 Query	select count(*) into @discard from `getboo`.`favourites`
		   85 Quit	
		   86 Connect	debian-sys-maint@localhost on 
		   86 Query	select @@version_comment limit 1
		   86 Query	select count(*) into @discard from `getboo`.`folders`
		   86 Quit	
		   87 Connect	debian-sys-maint@localhost on 
		   87 Query	select @@version_comment limit 1
		   87 Query	select count(*) into @discard from `getboo`.`gfolders`
		   87 Quit	
		   88 Connect	debian-sys-maint@localhost on 
		   88 Query	select @@version_comment limit 1
		   88 Query	select count(*) into @discard from `getboo`.`groups`
		   88 Quit	
		   89 Connect	debian-sys-maint@localhost on 
		   89 Query	select @@version_comment limit 1
		   89 Query	select count(*) into @discard from `getboo`.`gsubscriptions`
		   89 Quit	
		   90 Connect	debian-sys-maint@localhost on 
		   90 Query	select @@version_comment limit 1
		   90 Query	select count(*) into @discard from `getboo`.`loginhits`
		   90 Quit	
		   91 Connect	debian-sys-maint@localhost on 
		   91 Query	select @@version_comment limit 1
		   91 Query	select count(*) into @discard from `getboo`.`news`
		   91 Quit	
		   92 Connect	debian-sys-maint@localhost on 
		   92 Query	select @@version_comment limit 1
		   92 Query	select count(*) into @discard from `getboo`.`newshits`
		   92 Quit	
		   93 Connect	debian-sys-maint@localhost on 
		   93 Query	select @@version_comment limit 1
		   93 Query	select count(*) into @discard from `getboo`.`searches`
		   93 Quit	
		   94 Connect	debian-sys-maint@localhost on 
		   94 Query	select @@version_comment limit 1
		   94 Query	select count(*) into @discard from `getboo`.`session`
		   94 Quit	
		   95 Connect	debian-sys-maint@localhost on 
		   95 Query	select @@version_comment limit 1
		   95 Query	select count(*) into @discard from `getboo`.`tags`
		   95 Quit	
		   96 Connect	debian-sys-maint@localhost on 
		   96 Query	select @@version_comment limit 1
		   96 Query	select count(*) into @discard from `getboo`.`tags_added`
		   96 Quit	
		   97 Connect	debian-sys-maint@localhost on 
		   97 Query	select @@version_comment limit 1
		   97 Query	select count(*) into @discard from `getboo`.`tags_books`
		   97 Quit	
		   98 Connect	debian-sys-maint@localhost on 
		   98 Query	select @@version_comment limit 1
		   98 Query	select count(*) into @discard from `ghost`.`q`
		   98 Quit	
		   99 Connect	debian-sys-maint@localhost on 
		   99 Query	select @@version_comment limit 1
		   99 Query	select count(*) into @discard from `gtd-php`.`categories`
		   99 Quit	
		  100 Connect	debian-sys-maint@localhost on 
		  100 Query	select @@version_comment limit 1
		  100 Query	select count(*) into @discard from `gtd-php`.`checklist`
		  100 Quit	
		  101 Connect	debian-sys-maint@localhost on 
		  101 Query	select @@version_comment limit 1
		  101 Query	select count(*) into @discard from `gtd-php`.`checklistitems`
		  101 Quit	
		  102 Connect	debian-sys-maint@localhost on 
		  102 Query	select @@version_comment limit 1
		  102 Query	select count(*) into @discard from `gtd-php`.`context`
		  102 Quit	
		  103 Connect	debian-sys-maint@localhost on 
		  103 Query	select @@version_comment limit 1
		  103 Query	select count(*) into @discard from `gtd-php`.`goals`
		  103 Quit	
		  104 Connect	debian-sys-maint@localhost on 
		  104 Query	select @@version_comment limit 1
		  104 Query	select count(*) into @discard from `gtd-php`.`itemattributes`
		  104 Quit	
		  105 Connect	debian-sys-maint@localhost on 
		  105 Query	select @@version_comment limit 1
		  105 Query	select count(*) into @discard from `gtd-php`.`items`
		  105 Quit	
		  106 Connect	debian-sys-maint@localhost on 
		  106 Query	select @@version_comment limit 1
		  106 Query	select count(*) into @discard from `gtd-php`.`itemstatus`
		  106 Quit	
		  107 Connect	debian-sys-maint@localhost on 
		  107 Query	select @@version_comment limit 1
		  107 Query	select count(*) into @discard from `gtd-php`.`list`
		  107 Quit	
		  108 Connect	debian-sys-maint@localhost on 
		  108 Query	select @@version_comment limit 1
		  108 Query	select count(*) into @discard from `gtd-php`.`listitems`
		  108 Quit	
		  109 Connect	debian-sys-maint@localhost on 
		  109 Query	select @@version_comment limit 1
		  109 Query	select count(*) into @discard from `gtd-php`.`nextactions`
		  109 Quit	
		  110 Connect	debian-sys-maint@localhost on 
		  110 Query	select @@version_comment limit 1
		  110 Query	select count(*) into @discard from `gtd-php`.`projectattributes`
		  110 Quit	
		  111 Connect	debian-sys-maint@localhost on 
		  111 Query	select @@version_comment limit 1
		  111 Query	select count(*) into @discard from `gtd-php`.`projects`
		  111 Quit	
		  112 Connect	debian-sys-maint@localhost on 
		  112 Query	select @@version_comment limit 1
		  112 Query	select count(*) into @discard from `gtd-php`.`projectstatus`
		  112 Quit	
		  113 Connect	debian-sys-maint@localhost on 
		  113 Query	select @@version_comment limit 1
		  113 Query	select count(*) into @discard from `gtd-php`.`tickler`
		  113 Quit	
		  114 Connect	debian-sys-maint@localhost on 
		  114 Query	select @@version_comment limit 1
		  114 Query	select count(*) into @discard from `gtd-php`.`timeitems`
		  114 Quit	
		  115 Connect	debian-sys-maint@localhost on 
		  115 Query	select @@version_comment limit 1
		  115 Query	select count(*) into @discard from `hex`.`loginhistory`
		  115 Quit	
		  116 Connect	debian-sys-maint@localhost on 
		  116 Query	select @@version_comment limit 1
		  116 Query	select count(*) into @discard from `isp`.`users`
		  116 Quit	
		  117 Connect	debian-sys-maint@localhost on 
		  117 Query	select @@version_comment limit 1
		  117 Query	select count(*) into @discard from `joomla`.`jos_banner`
		  117 Quit	
		  118 Connect	debian-sys-maint@localhost on 
		  118 Query	select @@version_comment limit 1
		  118 Query	select count(*) into @discard from `joomla`.`jos_bannerclient`
		  118 Quit	
		  119 Connect	debian-sys-maint@localhost on 
		  119 Query	select @@version_comment limit 1
		  119 Query	select count(*) into @discard from `joomla`.`jos_bannertrack`
		  119 Quit	
		  120 Connect	debian-sys-maint@localhost on 
		  120 Query	select @@version_comment limit 1
		  120 Query	select count(*) into @discard from `joomla`.`jos_categories`
		  120 Quit	
		  121 Connect	debian-sys-maint@localhost on 
		  121 Query	select @@version_comment limit 1
		  121 Query	select count(*) into @discard from `joomla`.`jos_components`
		  121 Quit	
		  122 Connect	debian-sys-maint@localhost on 
		  122 Query	select @@version_comment limit 1
		  122 Query	select count(*) into @discard from `joomla`.`jos_contact_details`
		  122 Quit	
		  123 Connect	debian-sys-maint@localhost on 
		  123 Query	select @@version_comment limit 1
