4_1c3f8###1###192.168.15.1###Mozilla/5.0 (Windows NT 6.1; WOW64; rv:13.0) Gecko/20100101 Firefox/13.0.1###1342443676###1342443676
12_1a2cf###1###192.168.15.1###Mozilla/5.0 (Windows NT 6.1; WOW64; rv:13.0) Gecko/20100101 Firefox/13.0.1###1342443679###1342443679
12_2a2cf###1###192.168.15.1###Mozilla/5.0 (Windows NT 6.1; WOW64; rv:13.0) Gecko/20100101 Firefox/13.0.1###1342443679###1342443679
12_3a2cf###1###192.168.15.1###Mozilla/5.0 (Windows NT 6.1; WOW64; rv:13.0) Gecko/20100101 Firefox/13.0.1###1342443679###1342443679
21_1f822###1###192.168.15.1###Mozilla/5.0 (Windows NT 6.1; WOW64; rv:13.0) Gecko/20100101 Firefox/13.0.1###1342443685###1342443685
1_25e2a###1###192.168.15.1###Mozilla/5.0 (Windows NT 6.1; WOW64; rv:13.0) Gecko/20100101 Firefox/13.0.1###1342443710###1342443710
2_2b7a3###2###192.168.15.1###Mozilla/5.0 (Windows NT 6.1; WOW64; rv:13.0) Gecko/20100101 Firefox/13.0.1###1342443717###1342443718
